TIME,FOREIGN,DOMESTIC,MALE,FEMALE,ORIGIN_UNCATEGORIZED,SEX_UNCATEGORIZED,UNCATEGORIZED,LOCATION
4/2/2025,521,3975,2270,2225,0,0,0,FS
4/2/2025,13,948,544,418,0,0,0,ALITAPTAP
4/2/2025,0,0,0,0,0,0,0,ASEAN
4/2/2025,10,172,89,93,0,0,0,MDI
4/2/2025,59,328,179,209,0,0,0,CDT
4/2/2025,191,289,230,250,0,0,0,CM
5/2/2025,0,0,0,0,0,0,0,RIVERWALK
5/2/2025,776,1544,1104,1216,0,0,0,PSL
5/2/2025,145,178,164,160,0,0,0,PRG
5/2/2025,564,3089,1714,1938,0,0,0,PR
5/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
5/2/2025,10,172,89,93,0,0,0,MDI
5/2/2025,0,0,0,0,0,0,0,PLAZUELA
5/2/2025,191,289,230,250,0,0,0,CM
5/2/2025,59,328,179,209,0,0,0,CDT
5/2/2025,131,187,155,164,0,0,0,BSD
5/2/2025,0,0,0,0,0,0,0,ASEAN
5/2/2025,13,948,544,418,0,0,0,ALITAPTAP
5/2/2025,521,3975,2270,2225,0,0,0,FS
6/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
6/2/2025,0,0,0,0,0,0,0,RIVERWALK
6/2/2025,776,1544,1104,1216,0,0,0,PSL
6/2/2025,145,178,164,160,0,0,0,PRG
6/2/2025,564,3089,1714,1938,0,0,0,PR
6/2/2025,9,172,89,93,0,0,0,MDI
6/2/2025,0,0,0,0,0,0,0,PLAZUELA
6/2/2025,191,289,230,250,0,0,0,CM
6/2/2025,59,328,179,209,0,0,0,CDT
6/2/2025,131,187,155,163,0,0,0,BSD
6/2/2025,0,0,0,0,0,0,0,ASEAN
6/2/2025,13,948,544,418,0,0,0,ALITAPTAP
6/2/2025,521,3975,2270,2225,0,0,0,FS
7/2/2025,0,0,0,0,0,0,0,RIVERWALK
7/2/2025,776,1544,1104,1216,0,0,0,PSL
7/2/2025,145,178,163,160,0,0,0,PRG
7/2/2025,564,3089,1714,1938,0,0,0,PR
7/2/2025,0,0,0,0,0,0,0,PLAZUELA
7/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
7/2/2025,9,172,89,93,0,0,0,MDI
7/2/2025,191,289,230,250,0,0,0,CM
7/2/2025,59,328,179,209,0,0,0,CDT
7/2/2025,131,187,155,163,0,0,0,BSD
7/2/2025,0,0,0,0,0,0,0,ASEAN
7/2/2025,13,948,544,418,0,0,0,ALITAPTAP
7/2/2025,521,3975,2270,2225,0,0,0,FS
8/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
8/2/2025,0,0,0,0,0,0,0,RIVERWALK
8/2/2025,776,1543,1104,1215,0,0,0,PSL
